[2014-05-27 18:45:33.119601][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.119819][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.120639][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.120871][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.121091][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.121111][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.121174][NOTICE] "Undefined variable: terminalCode" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TransactionSummaryModel.php Line: 359
[2014-05-27 18:45:33.128258][ERROR] "Unknown column 'DateCuttOff' in 'where clause'" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/SiteGrossHoldCuttOffModel.php LINE: 8
[2014-05-27 18:46:06.516534][NOTICE] "Undefined index: DU" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 45
[2014-05-27 18:46:06.518080][NOTICE] "Undefined index: DE" File: /var/www/Kronus_GenesisAbbott/cashier.genesis.abbott/app/frontend/models/TicketsModel.php Line: 53
